ID	Function	Source	Count
PRK02463.1	membrane protein insertase YidC	PRK02463	20
PRK02471.1	bifunctional glutamate--cysteine ligase GshA/glutathione synthetase GshB	PRK02471	32
PRK02491.1	nucleoside-triphosphate diphosphatase	PRK02491	4
PRK02539.1	DUF896 family protein	PRK02539	2
PRK02597.1	DNA-directed RNA polymerase subunit beta'	PRK02597	10
PRK02628.1	NAD(+) synthase	PRK02628	2
PRK02925.1	glucuronate isomerase	PRK02925	15
PRK02929.1	L-arabinose isomerase	PRK02929	31
PRK02944.1	YidC family membrane integrase SpoIIIJ	PRK02944	2
PRK03202.1	ATP-dependent 6-phosphofructokinase	PRK03202	6
PRK03619.1	phosphoribosylformylglycinamidine synthase subunit PurQ	PRK03619	21
PRK03643.1	tagaturonate reductase	PRK03643	14
PRK03659.1	glutathione-regulated potassium-efflux system protein KefB	PRK03659	1
PRK03681.1	hydrogenase/urease nickel incorporation protein HypA	PRK03681	1
PRK03906.1	mannonate dehydratase	PRK03906	15
PRK03932.1	asparagine--tRNA ligase	PRK03932	39
PRK04158.1	GTP-sensing pleiotropic transcriptional regulator CodY	PRK04158	7
PRK04161.1	tagatose 1,6-diphosphate aldolase	PRK04161	40
PRK04284.1	ornithine carbamoyltransferase	PRK04284	29
PRK04296.1-4	thymidine kinase	PRK04296	21
PRK04351.1	SprT family protein	PRK04351	10
PRK04387.1	hypothetical protein	PRK04387	1
PRK04778.1-4	septation ring formation regulator EzrA	PRK04778	20
PRK04813.1	D-alanine--poly(phosphoribitol) ligase subunit DltA	PRK04813	21
PRK04837.1	ATP-dependent RNA helicase RhlB	PRK04837	7
PRK04885.1	NAD kinase	PRK04885	14
PRK04930.1	glutathione-regulated potassium-efflux system ancillary protein KefG	PRK04930	1
PRK05087.1	D-alanine--poly(phosphoribitol) ligase subunit DltC	PRK05087	2
PRK05182.1-2	DNA-directed RNA polymerase subunit alpha	PRK05182	2
PRK05182.2-1	DNA-directed RNA polymerase subunit alpha	PRK05182	38
PRK05182.2-4	DNA-directed RNA polymerase subunit alpha	PRK05182	16
PRK05185.1	50S ribosomal protein L20	PRK05185	5
PRK05198.1	3-deoxy-8-phosphooctulonate synthase	PRK05198	2
