L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Xenobiotics biodegradation and metabolism	Atrazine degradation [PATH:ko00791]	K23359	Biuret amidohydrolase	3.5.1.84	biuH	1
Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis [PATH:ko00550]	K23393	Lipid II isoglutaminyl synthase (glutamine-hydrolysing)	6.3.5.13	murT	1
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K23535	General nucleoside transport system permease protein		nupB	3
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K23535	General nucleoside transport system permease protein		nupB	3
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K23536	General nucleoside transport system permease protein		nupC	3
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K23536	General nucleoside transport system permease protein		nupC	3
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K23537	General nucleoside transport system ATP-binding protein		nupA	9
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K23537	General nucleoside transport system ATP-binding protein		nupA	9
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K24119	NADH-dependent peroxiredoxin subunit C	1.11.1.26	ahpC	11
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K24163	Monovalent cation/hydrogen antiporter		nhaK	3
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K24258	UDP-N-acetyl-L-fucosamine synthase	5.1.3.28	wbjD	4
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K24300	UDP-N-acetylglucosamine 4,6-dehydratase	4.2.1.135	wbpM	6
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K24846	ATP-binding cassette, subfamily B, bacterial PglK	7.5.2.-	pglK	1
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	K24967	GntR family transcriptional regulator, N-acetylglucosamine utilization regulator		nagR	3
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K25026	Glucokinase	2.7.1.2	glk	5
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:ko00052]	K25026	Glucokinase	2.7.1.2	glk	5
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	K25026	Glucokinase	2.7.1.2	glk	5
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K25026	Glucokinase	2.7.1.2	glk	5
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis [PATH:ko00521]	K25026	Glucokinase	2.7.1.2	glk	5
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]	K25026	Glucokinase	2.7.1.2	glk	5
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K25028	Cobalamin transport system ATP-binding protein	7.6.2.8	btuD	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K25031	Gluconokinase	2.7.1.12	gntK	13
